producto,veces_visto,veces_comprado,tasa_conversion_pct
Google Navy Speckled Tee,56466,157,0.28
Super G Unisex Joggers,52758,285,0.54
Google Zip Hoodie F/C,49795,256,0.51
Google Campus Bike Eco Tee Navy,43140,48,0.11
Google Women's Striped L/S,42142,0,0.0
Android Large Removable Sticker Sheet,38604,55,0.14
Android SM S/F18 Sticker Sheet,37988,115,0.3
Google Tee Yellow,34873,36,0.1
Google F/C Long Sleeve Tee Charcoal,34275,0,0.0
Google Badge Heavyweight Pullover Black,33602,184,0.55
YouTube Icon Tee Grey,33523,66,0.2
Google Small Standard Journal Navy,33492,75,0.22
Google Heather Green Speckled Tee,33034,76,0.23
Android Super Hero 3D Framed Art,32278,31,0.1
Google Crewneck Sweatshirt Navy,32271,225,0.7